livro,link
O menino do pijama listrado,/seboessenciadaleitura/john-boyne--o-menino-do-pijama-listrado-194s-2833475403?show_suggestion=0
O hobbit,/amigo-sebo/j-r-r-tolkien-o-hobbit-3049821033?show_suggestion=0
O silmarillion,/sebolebrasil/j-r-r-tolkien-o-silmarillion-3064468140?show_suggestion=0
Os Filhos de Húrin,/lerlivros/j-r-r-tolkien-os-filhos-de-hurin-3076184395?show_suggestion=0
O Senhor dos Aneis - a Sociedade do Anel - Vol 1,/osmelhoreslivros/j-r-r-tolkien-o-senhor-dos-aneis-a-sociedade-do-anel-vol-1-3060085760?show_suggestion=0
Contos Inacabados,/3f-livraria/j-r-r-tolien-contos-inacabados-3064464397?show_suggestion=0
Entrevista Com o Vampiro ,/antiqvalivros/anne-rice-entrevista-com-o-vampiro-2749469412?show_suggestion=0
Dom Quixote ,/livrologia-pacl/miguel-de-cervantes-leonardo-chianca-dom-quixote-2793830511?show_suggestion=0
Memórias Póstumas de Brás Cubas ,/sabordosaber/machado-de-assis-memorias-postumas-de-bras-cubas-3069828899?show_suggestion=0
A Espada do Destino,/letrasecia/andrzej-sapkowski-a-espada-do-destino-the-witcher-livro-2-3058744710?show_suggestion=0
O último Desejo ,/sebojoaobrandao/andrzej-sapkowski-o-ultimo-desejo-3000423948?show_suggestion=0
O Sangue dos Elfos ,/sabialivros/andrzej-sapkowski-o-sangue-dos-elfos-2565423423?show_suggestion=0
Tempo do Desprezo,/sebokapricho/andrzej-sapkowski-tempo-do-desprezo-3064855106?show_suggestion=0
Batismo de Fogo,/sebo-parada-obrigatoria/andrzej-sapkowski-batismo-de-fogo-2913655202?show_suggestion=0
A torre da Andorinha,/pook-book/andrzej-sapkowski-a-torre-da-andorinha-the-witcher-a-saga-do-bruxo-geralt-de-rivia-2094456619?show_suggestion=0
A Senhora do Lago,/sebocaprichoi/andrzej-sapkowski-a-senhora-do-lago-the-witcher-a-saga-do-bruxo-geralt-de-rivia-3067408681?show_suggestion=0
A Guerra dos Tronos: as Crônicas de Gelo e Fogo - Livro 1,/sebotraca/george-r-r-martin-a-guerra-dos-tronos-volume-1-3061890308?show_suggestion=0
A Fúria dos Reis: as Crônicas de Gelo e Fogo - Livro 2,/sebomisterioso/george-r-r-martin-a-furia-dos-reis-as-cronicas-de-gelo-e-fogo-livro-2-3073587512?show_suggestion=0
Tormenta de Espadas:as Crônicas de Gelo e Fogo-  Livro 3,/livro-cia/george-r-r-martin-tormenta-de-espadas-as-cronicas-de-gelo-e-fogo--2990965287?show_suggestion=0
O Festim dos Corvos: as Crônicas de Gelo e Fogo - Livro 4,/livrosuniverso/george-r-r-martin-o-festim-dos-corvos-as-cronicas-de-gelo-e-fogo-livro-quatro-3059950715?show_suggestion=0
A Dança dos Dragões: as Crônicas de Gelo e Fogo - Livro 5,/sebomisterioso/george-r-r-martin-a-danca-dos-dragoes-as-cronicas-de-gelo-e-fogo-3075990505?show_suggestion=0
